epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.701860249042511,0.5662845969200134,0.5662845969200134,0.3,0.6680893301963806,0.8031049966812134,0.6274333596229553,0.6302833557128906,0.6608242392539978,0.6567591428756714,0.6264500021934509,0.6259999871253967,0.6452995538711548,0.6470299363136292,0.6030558943748474,0.6042405962944031,0.7414809465408325,0.731887698173523,0.5914842486381531,0.5940672755241394,0.8241509199142456,0.8230177164077759,0.43850046396255493,0.451314240694046,0.8508810997009277,0.8342245817184448,0.5244535803794861,0.529471755027771,0.6947322487831116,0.6878051161766052,0.0010431938571855426,0.0009689922444522381,0.7708333134651184,0.7083333134651184,0.00014335547166410834,0.00014670284872408956,1.0,1.0
1,0.7821376323699951,0.46560484170913696,0.5159447193145752,0.3,0.7645699381828308,0.8156737089157104,0.6621999740600586,0.6591416597366333,0.620471179485321,0.622191846370697,0.6510166525840759,0.643916666507721,0.6227255463600159,0.6317121982574463,0.6331139802932739,0.6296912431716919,0.7194510698318481,0.6999983191490173,0.6262776851654053,0.6252278089523315,0.804602861404419,0.7947205305099487,0.5185229778289795,0.52853924036026,0.7490265965461731,0.7345285415649414,0.58526211977005,0.5873552560806274,0.6377995014190674,0.6339444518089294,0.0013900786871090531,0.00128369708545506,0.6880000233650208,0.6320000290870667,0.00015324816922657192,0.00014227989595383406,1.0,0.9090909361839294
2,0.8110747933387756,0.40789955854415894,0.47992968559265137,0.3,0.7809810638427734,0.8648360371589661,0.6838277578353882,0.6717555522918701,0.5995395183563232,0.6134483218193054,0.6678277850151062,0.6507222056388855,0.6056109070777893,0.6282243728637695,0.650901734828949,0.6379425525665283,0.7249289155006409,0.6981924176216125,0.6470854878425598,0.6379236578941345,0.8089143633842468,0.7946051359176636,0.5597105622291565,0.5554303526878357,0.730449914932251,0.7350740432739258,0.6054779291152954,0.5953834652900696,0.6240637302398682,0.6346986889839172,0.0014726206427440047,0.0013588006841018796,0.6770833134651184,0.640625,0.00015235076716635376,0.00014082806592341512,0.9375,0.875
3,0.817542314529419,0.3924563527107239,0.4580613374710083,0.3,0.7748745679855347,0.8953612446784973,0.7018541693687439,0.6817125082015991,0.5788307785987854,0.6052377223968506,0.6833083629608154,0.6572375297546387,0.5875200033187866,0.6215829849243164,0.6652496457099915,0.6432884335517883,0.7388831377029419,0.7070398330688477,0.6632813811302185,0.6461088061332703,0.8201028108596802,0.8037046194076538,0.5831018686294556,0.5652329921722412,0.7157551646232605,0.7388623356819153,0.6236498355865479,0.6009640693664551,0.6102418303489685,0.6363530158996582,0.0016028067329898477,0.0014615216059610248,0.7114624381065369,0.687747061252594,0.0001448097755201161,0.00013114653120283037,0.9473684430122375,0.8947368264198303
4,0.8248432874679565,0.37284761667251587,0.44101858139038086,0.3,0.78413325548172,0.8968687653541565,0.7129899859428406,0.6859999895095825,0.5680273771286011,0.6057438850402832,0.6946766376495361,0.6619633436203003,0.5736221075057983,0.6173781156539917,0.6767666339874268,0.6473703384399414,0.7462011575698853,0.7125726938247681,0.6715463399887085,0.6472730040550232,0.8338966369628906,0.8176182508468628,0.5938574075698853,0.5599055290222168,0.7194923162460327,0.7676665186882019,0.6399415135383606,0.6056810021400452,0.5951178669929504,0.6365578770637512,0.001742160296998918,0.0015095982234925032,0.7177914381027222,0.6809815764427185,0.00013213006604928523,0.0001158423547167331,0.9523809552192688,0.9047619104385376
5,0.8384784460067749,0.3533787429332733,0.4264119565486908,0.3,0.8158369064331055,0.8746002316474915,0.7234389185905457,0.6933861374855042,0.5516387820243835,0.5959374308586121,0.7033083438873291,0.6659027934074402,0.5626238584518433,0.6138710379600525,0.6893259286880493,0.6543017625808716,0.7410805821418762,0.7046036124229431,0.6867150068283081,0.6583325862884521,0.8218713998794556,0.8041951656341553,0.6272703409194946,0.5885807275772095,0.6744990944862366,0.732374370098114,0.6626078486442566,0.6215544939041138,0.5683739185333252,0.6204915642738342,0.0017744818469509482,0.0014879897935315967,0.7071239948272705,0.6649076342582703,0.00014397379709407687,0.0001250027125934139,0.9230769276618958,0.8846153616905212
6,0.8401786684989929,0.3530466556549072,0.41593119502067566,0.3,0.7992734909057617,0.9088607430458069,0.7317404747009277,0.6983333230018616,0.5390053987503052,0.5881946682929993,0.7107499837875366,0.6692404747009277,0.5530093312263489,0.61053466796875,0.6967025995254517,0.6573038697242737,0.7472664713859558,0.7082734704017639,0.6946022510528564,0.6627151966094971,0.8272433876991272,0.8078879117965698,0.6380450129508972,0.5923811197280884,0.6608640551567078,0.7281211018562317,0.6702127456665039,0.6233680844306946,0.5615888833999634,0.6232544779777527,0.0018461752915754914,0.001535684335976839,0.7243735790252686,0.6879271268844604,0.0001429645490134135,0.00012224997044540942,0.931034505367279,0.8965517282485962
7,0.8475463390350342,0.3422314524650574,0.40671873092651367,0.3,0.833280086517334,0.8691015839576721,0.7387729287147522,0.7032479047775269,0.5272012948989868,0.5802999138832092,0.7161478996276855,0.6717728972434998,0.5458784103393555,0.6087541580200195,0.7056628465652466,0.6626887917518616,0.742413341999054,0.7007548213005066,0.7047787308692932,0.6700747609138489,0.8218425512313843,0.8008607625961304,0.657457172870636,0.6091286540031433,0.6332821249961853,0.7058238387107849,0.6875193119049072,0.6383756399154663,0.5393127799034119,0.6061379909515381,0.0019085503881797194,0.001561689074151218,0.7206477522850037,0.6821862459182739,0.0001517643831903115,0.00012442347360774875,0.939393937587738,0.8787878751754761
8,0.846812903881073,0.34002450108528137,0.3993082642555237,0.3,0.8110109567642212,0.9047428965568542,0.7451388835906982,0.707027792930603,0.5173395872116089,0.5749688744544983,0.7213296294212341,0.673896312713623,0.5388972759246826,0.6064987778663635,0.7110427021980286,0.6648626327514648,0.7464760541915894,0.7023791670799255,0.7112975716590881,0.6737385988235474,0.8252789378166199,0.8029101490974426,0.6662179231643677,0.6125236749649048,0.6215294599533081,0.702944815158844,0.6941250562667847,0.6417576670646667,0.531680166721344,0.6040602922439575,0.001922945841215551,0.001534380135126412,0.7247706651687622,0.6770642399787903,0.00016970043361652642,0.00013849562674295157,0.949999988079071,0.8999999761581421
9,0.8547472953796387,0.3269376754760742,0.3920711874961853,0.3,0.8237547874450684,0.9027592539787292,0.7508249878883362,0.7110966444015503,0.5084229707717896,0.5694379210472107,0.7258599996566772,0.676788330078125,0.5330606698989868,0.603516697883606,0.7175338268280029,0.6689120531082153,0.7457385063171387,0.7011517286300659,0.7182344794273376,0.6783764958381653,0.8255482912063599,0.8028864860534668,0.6762682795524597,0.6196581125259399,0.6078227758407593,0.6953061819076538,0.7032215595245361,0.6473158001899719,0.5197677612304688,0.5979772210121155,0.0019778194837272167,0.0015509651275351644,0.7227723002433777,0.6732673048973083,0.00016990381118375808,0.00013756613770965487,0.9534883499145508,0.9069767594337463
