epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6055733561515808,0.6582478880882263,0.6582478880882263,0.5982917547225952,0.6433179378509521,0.5590833425521851,0.5590999722480774,0.6815525889396667,0.6812496185302734,0.5570999979972839,0.5552499890327454,0.6827263832092285,0.6826735734939575,0.5475664138793945,0.545971155166626,0.6603704690933228,0.6593377590179443,0.5488618016242981,0.5486117005348206,0.6638445258140564,0.6671444177627563,0.4342068135738373,0.43306630849838257,0.7413906455039978,0.7415004968643188,0.46090373396873474,0.4594815671443939,0.7265371084213257,0.7271674275398254,0.0005971337668597698,0.000620347389485687,0.6486486196517944,0.6756756901741028,9.484965994488448e-05,9.465886978432536e-05,1.0,1.0
1,0.6978466510772705,0.5682133436203003,0.6132305860519409,0.6705528497695923,0.7781791687011719,0.6072583198547363,0.6098166704177856,0.6512888669967651,0.6485472917556763,0.5986416935920715,0.5989583134651184,0.6592614650726318,0.6578571796417236,0.5811710953712463,0.582000732421875,0.7077891826629639,0.7038745880126953,0.5871089100837708,0.5894876718521118,0.7230471968650818,0.7235304713249207,0.47904172539711,0.48496559262275696,0.7269389033317566,0.7220005989074707,0.4981619119644165,0.5034548044204712,0.7142041325569153,0.7085837721824646,0.0007615535869263113,0.000756184512283653,0.7599999904632568,0.746666669845581,0.00012876476102974266,0.00014326647215057164,0.8333333134651184,0.9166666865348816
2,0.7499933242797852,0.5013340711593628,0.5759317278862,0.7146337032318115,0.8327425122261047,0.6302111148834229,0.6327221989631653,0.6350843906402588,0.6318405270576477,0.6205278038978577,0.6210277676582336,0.6451879739761353,0.6434842944145203,0.5983961224555969,0.6004213094711304,0.7341943383216858,0.7248103618621826,0.6049667000770569,0.6081842184066772,0.7505555152893066,0.7462223768234253,0.5028110146522522,0.5122748613357544,0.7198958992958069,0.7090018391609192,0.513702929019928,0.5228039026260376,0.713280200958252,0.7021992206573486,0.0007812787080183625,0.0007774665718898177,0.7657657861709595,0.7477477192878723,0.00017988523177336901,0.000183375203050673,0.8695651888847351,0.8695651888847351
3,0.7779399752616882,0.4577816128730774,0.5463942289352417,0.7338632941246033,0.8724175691604614,0.6464541554450989,0.6447458267211914,0.6238923668861389,0.6256933808326721,0.6366000175476074,0.6321583390235901,0.6351889967918396,0.6394575238227844,0.6098659038543701,0.6079274415969849,0.7592413425445557,0.7454147338867188,0.6161394119262695,0.6159787774085999,0.7770426273345947,0.7688429355621338,0.5133203268051147,0.5184592604637146,0.7305219173431396,0.7245856523513794,0.5147181153297424,0.5188940763473511,0.7353045344352722,0.7296150922775269,0.0008565784082747996,0.000843140936922282,0.7469879388809204,0.7289156913757324,0.00019295707170385867,0.00019501594942994416,0.8484848737716675,0.8484848737716675
4,0.7952133417129517,0.42840737104415894,0.5227968692779541,0.7574666142463684,0.8687423467636108,0.6628699898719788,0.6549466848373413,0.6069372892379761,0.6159518957138062,0.6516566872596741,0.6415266394615173,0.6209251880645752,0.6326349377632141,0.6229916214942932,0.6162405610084534,0.7691298127174377,0.7513059973716736,0.6301677227020264,0.6246694922447205,0.7885403633117676,0.7764341235160828,0.5373398065567017,0.5355767607688904,0.7131882309913635,0.7143737077713013,0.537097156047821,0.5327313542366028,0.7193518877029419,0.7226418256759644,0.000909538590349257,0.0008781293872743845,0.7511961460113525,0.7320573925971985,0.00017398162162862718,0.00017332124116364866,0.8333333134651184,0.8333333134651184
5,0.8058266639709473,0.41036874055862427,0.504058837890625,0.7708495855331421,0.870557963848114,0.6772639155387878,0.6643416881561279,0.5909018516540527,0.6065822839736938,0.6646361351013184,0.6497527956962585,0.6071600317955017,0.6254385113716125,0.635531485080719,0.6245641112327576,0.7729077339172363,0.7518641948699951,0.643671452999115,0.6337202191352844,0.7942112684249878,0.7788839340209961,0.5600973963737488,0.5512373447418213,0.6926234364509583,0.7023681998252869,0.5614395141601562,0.5511064529418945,0.6949151158332825,0.705437421798706,0.0009274168987758458,0.0008911724435165524,0.7398374080657959,0.727642297744751,0.0001575707719894126,0.0001544601545901969,0.8157894611358643,0.8157894611358643
6,0.8028133511543274,0.4122052490711212,0.49093690514564514,0.7526350617408752,0.9022953510284424,0.6866333484649658,0.6698523759841919,0.5806484222412109,0.6014746427536011,0.6741047501564026,0.6554404497146606,0.5976964235305786,0.6214966773986816,0.6431298851966858,0.6286656260490417,0.7831814289093018,0.7604901790618896,0.6508539915084839,0.6372883319854736,0.8052740693092346,0.7885080575942993,0.5666806697845459,0.550727128982544,0.6943831443786621,0.7124775052070618,0.5697591304779053,0.5535997152328491,0.6921285390853882,0.7089639902114868,0.0010150340385735035,0.0009611836285330355,0.7450980544090271,0.7320261597633362,0.0001503825915278867,0.0001450431445846334,0.8095238208770752,0.8095238208770752
7,0.8157200217247009,0.39100944995880127,0.47844594717025757,0.777917206287384,0.883923351764679,0.695941686630249,0.6757833361625671,0.569412350654602,0.5952900052070618,0.6832291483879089,0.6608604192733765,0.5874806642532349,0.6167318820953369,0.6522150635719299,0.634092390537262,0.7858906984329224,0.7616005539894104,0.6598203778266907,0.6429541707038879,0.8089946508407593,0.7906619906425476,0.582491397857666,0.559922993183136,0.6787993907928467,0.7044287919998169,0.5853570103645325,0.5634844303131104,0.676007866859436,0.7002006769180298,0.0011033735936507583,0.0010289684869349003,0.7520661354064941,0.7382920384407043,0.0001686977338977158,0.00016004755161702633,0.8399999737739563,0.8399999737739563
8,0.8193133473396301,0.38291728496551514,0.46783167123794556,0.7807409167289734,0.8883055448532104,0.7038203477859497,0.6813926100730896,0.5597092509269714,0.5892285108566284,0.6904647946357727,0.6651777625083923,0.5793160796165466,0.6129085421562195,0.6593192219734192,0.6385255455970764,0.7889739871025085,0.7622972726821899,0.6672379374504089,0.6482896208763123,0.8132321238517761,0.7930550575256348,0.5943831205368042,0.5686973333358765,0.6677761077880859,0.6979238986968994,0.5975155234336853,0.5721296668052673,0.664839506149292,0.6939020156860352,0.0011066205333918333,0.0010201630648225546,0.7569620013237,0.7417721748352051,0.00018007225298788399,0.00016934976156335324,0.859649121761322,0.859649121761322
9,0.8245599865913391,0.37373751401901245,0.4584222435951233,0.784564733505249,0.89513099193573,0.7108233571052551,0.6860633492469788,0.5510152578353882,0.5841711759567261,0.6970999836921692,0.6692450046539307,0.5716143846511841,0.60930997133255,0.665917694568634,0.6427048444747925,0.7918022871017456,0.7631329298019409,0.6740005016326904,0.6528304815292358,0.8166806697845459,0.7948415279388428,0.6043593883514404,0.5759046673774719,0.6588085889816284,0.6929930448532104,0.6067298054695129,0.5782958269119263,0.6570158004760742,0.6908029913902283,0.0011113345390185714,0.001017416943795979,0.7563804984092712,0.7424594163894653,0.00017971584748011082,0.0001676594401942566,0.841269850730896,0.841269850730896
10,0.8291000127792358,0.3664761483669281,0.4500634968280792,0.7920355796813965,0.8928552269935608,0.7174651622772217,0.6902257800102234,0.5423740148544312,0.5790371298789978,0.7033894062042236,0.6728045344352722,0.5636743307113647,0.6053135395050049,0.6725040674209595,0.6465140581130981,0.7936208844184875,0.7634121775627136,0.6807496547698975,0.6569714546203613,0.8190779089927673,0.7962092757225037,0.6148271560668945,0.5832567811012268,0.6463702917098999,0.6849750876426697,0.6169618964195251,0.584639847278595,0.644343912601471,0.6833111047744751,0.0011264091590419412,0.0010212436318397522,0.7405857443809509,0.7280334830284119,0.00018364891002420336,0.00016973854508250952,0.8529411554336548,0.8529411554336548
