epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
10,0.8321266770362854,0.36156678199768066,0.4398057162761688,0.7974961400032043,0.8905458450317383,0.717481791973114,0.6954969763755798,0.5430462956428528,0.5739174485206604,0.7038984894752502,0.6782106161117554,0.5639781355857849,0.6006754040718079,0.6750010251998901,0.655650794506073,0.7868738174438477,0.7511684894561768,0.6820085644721985,0.6653385162353516,0.8150146007537842,0.7867955565452576,0.8123648762702942,0.7689127326011658,0.3893749415874481,0.46470215916633606,0.8065478801727295,0.7583199739456177,0.4000183343887329,0.48075371980667114,0.7673130631446838,0.7292372584342957,0.8801075220108032,0.8219922184944153,0.7698425054550171,0.7344009876251221,0.891196072101593,0.842583954334259
11,0.8364733457565308,0.3540436327457428,0.4326588809490204,0.7937026619911194,0.9094628691673279,0.7224583625793457,0.6983458399772644,0.5365920662879944,0.5705166459083557,0.7090444564819336,0.6809430718421936,0.5576152205467224,0.5976836681365967,0.6799439787864685,0.65821772813797,0.7903040647506714,0.753242552280426,0.6866568922996521,0.6678875088691711,0.8184424042701721,0.7891530990600586,0.8171033263206482,0.773194432258606,0.3812750279903412,0.45815953612327576,0.8114222288131714,0.7624877691268921,0.39210888743400574,0.47462356090545654,0.7713818550109863,0.732691764831543,0.8853685855865479,0.8267565965652466,0.7737340927124023,0.7378221154212952,0.8963614106178284,0.8476163148880005
12,0.8386399745941162,0.34901079535484314,0.42622441053390503,0.802393913269043,0.8987659215927124,0.7270718216896057,0.7011718153953552,0.5305690169334412,0.5673331022262573,0.713365375995636,0.683588445186615,0.5522555112838745,0.5950849056243896,0.684220552444458,0.6609131693840027,0.792864203453064,0.7545297145843506,0.6911067366600037,0.6705794334411621,0.8212445378303528,0.7909340262413025,0.8214789628982544,0.7772451043128967,0.3737891614437103,0.4519498944282532,0.815727174282074,0.7663548588752747,0.3848232924938202,0.46878084540367126,0.7754735350608826,0.7364127039909363,0.8889567852020264,0.8299152851104736,0.7778388261795044,0.7415030002593994,0.9000529050827026,0.8512977361679077
13,0.8463000059127808,0.3383314907550812,0.4199463725090027,0.8097593784332275,0.9054536819458008,0.7313821315765381,0.7038190364837646,0.5245595574378967,0.5641257166862488,0.717630922794342,0.686082124710083,0.5467067956924438,0.5924550294876099,0.6886847615242004,0.6635463237762451,0.794731080532074,0.7554675340652466,0.695519745349884,0.6732209920883179,0.8231630325317383,0.7922248840332031,0.8254285454750061,0.7810657024383545,0.3668775260448456,0.44588160514831543,0.8196295499801636,0.7699923515319824,0.37810835242271423,0.46332257986068726,0.7790904641151428,0.7398224472999573,0.8924195766448975,0.8331226110458374,0.7813931107521057,0.7449541687965393,0.9037100076675415,0.854826033115387
14,0.8451600074768066,0.3366262912750244,0.4143916964530945,0.8091395497322083,0.9035164713859558,0.735319972038269,0.7063355445861816,0.5189860463142395,0.5608404278755188,0.7214555740356445,0.6883400082588196,0.5417672395706177,0.5901362299919128,0.6928281784057617,0.6660826802253723,0.7960748672485352,0.7558327317237854,0.6995745301246643,0.6757871508598328,0.8249443173408508,0.7933111786842346,0.8290657997131348,0.7845680117607117,0.36049172282218933,0.44024986028671265,0.8233199715614319,0.7733750939369202,0.3718371093273163,0.4580349326133728,0.7825947403907776,0.7431252598762512,0.8955342173576355,0.835809588432312,0.7847667336463928,0.748185396194458,0.9068814516067505,0.8579126000404358
15,0.848693311214447,0.3330618441104889,0.4093085825443268,0.8117256164550781,0.9081251621246338,0.7389468550682068,0.7087489366531372,0.5137979984283447,0.5576149821281433,0.7249864339828491,0.6903583407402039,0.536963939666748,0.5877498388290405,0.6965478658676147,0.6681712865829468,0.7977071404457092,0.7567979097366333,0.703326940536499,0.6781551837921143,0.826609194278717,0.7946970462799072,0.8325350284576416,0.7879491448402405,0.3544386327266693,0.4348573684692383,0.8265233039855957,0.7765024900436401,0.3661327660083771,0.45311373472213745,0.7855470776557922,0.7461250424385071,0.8984320163726807,0.8384385704994202,0.7879502177238464,0.7512713074684143,0.9099846482276917,0.8609780669212341
16,0.8509799838066101,0.3294549882411957,0.4046113193035126,0.8091565370559692,0.9187459945678711,0.7420480251312256,0.7106274366378784,0.5095640420913696,0.5555444955825806,0.728022575378418,0.6920813918113708,0.5331400036811829,0.58622807264328,0.6995024085044861,0.6697038412094116,0.7998745441436768,0.7584888339042664,0.7062654495239258,0.67974853515625,0.8288565874099731,0.7966080904006958,0.8355466723442078,0.7907497882843018,0.3491293787956238,0.4301958382129669,0.8294525742530823,0.7792941331863403,0.36114922165870667,0.44883355498313904,0.7882145047187805,0.7484977841377258,0.9011481404304504,0.8414801955223083,0.7905837893486023,0.7534536719322205,0.9129440188407898,0.8643685579299927
17,0.8506066799163818,0.32679110765457153,0.4002879858016968,0.8102852702140808,0.9157581925392151,0.7447870373725891,0.7122805714607239,0.5056226253509521,0.5534370541572571,0.7307286858558655,0.6936166882514954,0.5292927026748657,0.5844574570655823,0.7023853659629822,0.6712977886199951,0.8011376857757568,0.7592586874961853,0.7090929746627808,0.6813281774520874,0.830207347869873,0.7977116703987122,0.838312566280365,0.7934422492980957,0.3440245985984802,0.4257228970527649,0.8321629762649536,0.7818955779075623,0.3563826382160187,0.4448592960834503,0.7907446622848511,0.7507169842720032,0.9035471081733704,0.8442977070808411,0.7931532859802246,0.7556872367858887,0.9153657555580139,0.8673142194747925
18,0.8560333251953125,0.31884244084358215,0.3960013687610626,0.8169306516647339,0.9178219437599182,0.7475044131278992,0.7140570282936096,0.5017171502113342,0.5510191917419434,0.7334219217300415,0.6952596306800842,0.5256944298744202,0.5826901197433472,0.7052445411682129,0.6729917526245117,0.8024428486824036,0.7601094245910645,0.7118976712226868,0.6830211281776428,0.8315840363502502,0.7989214658737183,0.8410189747810364,0.7960540056228638,0.3391707241535187,0.4213888645172119,0.8347291350364685,0.7844238877296448,0.3517329692840576,0.4407629668712616,0.7932438254356384,0.7529240250587463,0.9056167602539062,0.8469139933586121,0.7956966757774353,0.757814347743988,0.9176841378211975,0.8702557682991028
19,0.85698002576828,0.31556788086891174,0.3919796943664551,0.8189643621444702,0.9167288541793823,0.7500066757202148,0.715928316116333,0.49809637665748596,0.5486100912094116,0.7359908223152161,0.6969833374023438,0.5221432447433472,0.5807112455368042,0.7082591652870178,0.675030529499054,0.8029414415359497,0.7601774334907532,0.7147831320762634,0.6851356029510498,0.8320656418800354,0.799168050289154,0.8434280157089233,0.7984679937362671,0.33473870158195496,0.41734975576400757,0.8371833562850952,0.7867186665534973,0.34732991456985474,0.43698638677597046,0.7957296371459961,0.7550526261329651,0.9074211716651917,0.8490132689476013,0.7980292439460754,0.7599270939826965,0.919621467590332,0.8726459741592407
