epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.5924122929573059,0.6653265953063965,0.6653265953063965,0.3,0.5931136012077332,0.5900306701660156,0.5002166628837585,0.499833345413208,0.7051979899406433,0.7055488228797913,0.5005333423614502,0.5003833174705505,0.7051360011100769,0.7053734660148621,0.5742971897125244,0.5573770403862,0.004765872377902269,0.004532577935606241,0.5616666674613953,0.562333345413208,0.684894323348999,0.6849448084831238,0.5487450361251831,0.5498583316802979,0.6983180642127991,0.6914570927619934,0.5291666388511658,0.48085105419158936,0.004233192186802626,0.003766541136428714,0.9965113997459412,0.9956124424934387,0.5439336895942688,0.5474088788032532,0.9969139695167542,0.9964443445205688,0.5447373986244202,0.5474727749824524,0.0,0.0,0.0,0.0,0.3962216079235077,0.4026888906955719,0.766196608543396,0.7645133137702942,0.0009326908038929105,0.0009427820914424956,0.807692289352417,0.807692289352417,0.0,0.0,0.0,0.0
1,0.6810241341590881,0.5863083004951477,0.6258174180984497,0.3,0.700619101524353,0.633226752281189,0.546541690826416,0.5480166673660278,0.6879628896713257,0.6877138614654541,0.5456166863441467,0.5475916862487793,0.6881610155105591,0.6878337860107422,0.5610103607177734,0.5638136267662048,0.42008697986602783,0.421086847782135,0.5947833061218262,0.5941583514213562,0.6689602136611938,0.6698131561279297,0.5750815272331238,0.5760879516601562,0.7284672260284424,0.7153610587120056,0.5623994469642639,0.5646525621414185,0.41954299807548523,0.4194263517856598,0.6799970269203186,0.6820566654205322,0.643300473690033,0.6435495615005493,0.6745696067810059,0.677333652973175,0.6432619094848633,0.6429350972175598,0.00014430609007831663,0.00014554224617313594,0.5,0.5,0.44788604974746704,0.4583987295627594,0.7549666166305542,0.7450876832008362,0.0011412891326472163,0.0011634238762781024,0.7704917788505554,0.7704917788505554,6.290099554462358e-05,6.330850010272115e-05,0.27272728085517883,0.27272728085517883
2,0.720729410648346,0.5365576148033142,0.5960641503334045,0.3,0.696779191493988,0.7825073003768921,0.5733833312988281,0.5765166878700256,0.674744188785553,0.672649621963501,0.572783350944519,0.5762222409248352,0.6748776435852051,0.6725716590881348,0.5712608695030212,0.5753978490829468,0.5838841795921326,0.5820844173431396,0.6098722219467163,0.6079944372177124,0.6652840971946716,0.6668290495872498,0.5846949815750122,0.5854329466819763,0.7604507803916931,0.7419752478599548,0.5719466209411621,0.5758938193321228,0.5835185050964355,0.5807631015777588,0.5663164854049683,0.5742015242576599,0.7113696932792664,0.7056982517242432,0.5610567927360535,0.5698855519294739,0.711198091506958,0.7042344212532043,0.00012226682156324387,0.000124776444863528,0.6000000238418579,0.6000000238418579,0.44958338141441345,0.4629875719547272,0.7880555987358093,0.7717610001564026,0.001144833629950881,0.0011733865831047297,0.7580645084381104,0.7580645084381104,0.00015468701894860715,0.00015755144704598933,0.5769230723381042,0.5769230723381042
3,0.7450326681137085,0.5045915842056274,0.5731960535049438,0.3,0.7307788729667664,0.7764525413513184,0.5970541834831238,0.5974875092506409,0.6638102531433105,0.6635453104972839,0.5964916944503784,0.5969791412353516,0.6638094186782837,0.6636062860488892,0.5846224427223206,0.5858948230743408,0.6669471859931946,0.6618227958679199,0.6250041723251343,0.6184874773025513,0.6557530164718628,0.662396252155304,0.5968037843704224,0.5942727327346802,0.772432804107666,0.7487592697143555,0.5851963758468628,0.5865437984466553,0.666783332824707,0.6608502864837646,0.5316185355186462,0.537411630153656,0.7633908987045288,0.7570386528968811,0.5267211198806763,0.5322358012199402,0.7648982405662537,0.7582090497016907,0.00010630984616000205,0.00010756312258308753,0.6000000238418579,0.6000000238418579,0.4691462516784668,0.4792396128177643,0.7887392640113831,0.7737494111061096,0.0012563766213133931,0.001280706375837326,0.7595419883728027,0.7595419883728027,0.00014322543574962765,0.00014501895930152386,0.625,0.625
4,0.7594678997993469,0.4842243194580078,0.5554016828536987,0.3,0.7303436994552612,0.8228902816772461,0.6184066534042358,0.6135266423225403,0.6448625326156616,0.649381697177887,0.6175900101661682,0.6133800148963928,0.6452447175979614,0.649779200553894,0.5991938710212708,0.5964654684066772,0.7105336785316467,0.701274573802948,0.6364333629608154,0.6245266795158386,0.6477178931236267,0.6605810523033142,0.6058215498924255,0.599094569683075,0.7826666235923767,0.7545881271362305,0.6000067591667175,0.5967903137207031,0.7104915976524353,0.7000786662101746,0.5309315919876099,0.5318493247032166,0.7491896152496338,0.7465000748634338,0.5253793597221375,0.5255270004272461,0.7534743547439575,0.751164436340332,0.00014134036609902978,0.00014138432743493468,0.6756756901741028,0.6756756901741028,0.48311930894851685,0.48668304085731506,0.7900606393814087,0.7794615030288696,0.0012967679649591446,0.0012901339214295149,0.7668711543083191,0.7576687335968018,0.00013729349302593619,0.0001375626161461696,0.6666666865348816,0.6666666865348816
5,0.7680690884590149,0.4719397723674774,0.5414913892745972,0.3,0.7688814401626587,0.7670885920524597,0.6371111273765564,0.627488911151886,0.6296610236167908,0.6419951319694519,0.6361027956008911,0.6269416809082031,0.6301531195640564,0.6423023343086243,0.6147273778915405,0.6081557869911194,0.7294225692749023,0.713962733745575,0.6472416520118713,0.6308194398880005,0.6379731297492981,0.6574662327766418,0.616237461566925,0.6060407161712646,0.7821334600448608,0.7493768930435181,0.6158536076545715,0.6089186668395996,0.7289398312568665,0.7128294110298157,0.552008867263794,0.5499425530433655,0.7216808795928955,0.7224751114845276,0.5447275638580322,0.5417622923851013,0.7293761372566223,0.7312849164009094,0.0001277026312891394,0.00012687630078289658,0.6499999761581421,0.6499999761581421,0.5051590800285339,0.5036138296127319,0.7725603580474854,0.7683114409446716,0.0013815272832289338,0.0013502991059795022,0.7688442468643188,0.7537688612937927,0.00013975892215967178,0.00013911729911342263,0.6829268336296082,0.6829268336296082
6,0.7751367092132568,0.45842328667640686,0.5296245217323303,0.3,0.7710890769958496,0.7828578948974609,0.6495237946510315,0.6360333561897278,0.6206255555152893,0.6373153328895569,0.6492857336997986,0.6359833478927612,0.6201449632644653,0.6370558142662048,0.6239143013954163,0.6137135624885559,0.7517951130867004,0.7340536117553711,0.6575547456741333,0.6365166902542114,0.6271702647209167,0.6534313559532166,0.6261318325996399,0.6120396852493286,0.783428966999054,0.7472806572914124,0.6241844892501831,0.6138342618942261,0.7516641616821289,0.7336701154708862,0.5537058711051941,0.5449517965316772,0.7323148846626282,0.7404260635375977,0.5501980781555176,0.5407252907752991,0.7364147305488586,0.7452870011329651,0.00014061581168789417,0.00013354366819839925,0.7021276354789734,0.6808510422706604,0.5249366164207458,0.5192034840583801,0.7539736032485962,0.7557054758071899,0.0014671562239527702,0.0014179087011143565,0.7728237509727478,0.7558386325836182,0.00014172213559504598,0.00013899595069233328,0.6734693646430969,0.6734693646430969
7,0.7810041308403015,0.44495832920074463,0.5190412402153015,0.3,0.772115170955658,0.7980820536613464,0.6613875031471252,0.644670844078064,0.6079078316688538,0.6287679076194763,0.6618437767028809,0.6453999876976013,0.6067219972610474,0.6277889609336853,0.6350753307342529,0.6221359372138977,0.76103675365448,0.7407589554786682,0.6651291847229004,0.6408270597457886,0.6188187599182129,0.6501882672309875,0.6334162950515747,0.6164975166320801,0.7852030992507935,0.7467119097709656,0.6346445083618164,0.6214861273765564,0.7608034610748291,0.74021315574646,0.5708985924720764,0.5594114661216736,0.7112970352172852,0.7226716876029968,0.5624606013298035,0.548311710357666,0.722500741481781,0.7376760840415955,0.0001418184256181121,0.00013366452185437083,0.7115384340286255,0.692307710647583,0.5406569838523865,0.5297703146934509,0.7398212552070618,0.747604250907898,0.0015318404184654355,0.0014537835959345102,0.7850467562675476,0.7626168131828308,0.0001680540881352499,0.000159867835463956,0.7166666388511658,0.699999988079071
8,0.7829377055168152,0.4423152804374695,0.5105161070823669,0.3,0.7682549953460693,0.8108846545219421,0.6687055826187134,0.6490092873573303,0.6040574312210083,0.6294373273849487,0.6690740585327148,0.6495518684387207,0.6034756898880005,0.6288910508155823,0.6385400295257568,0.6227430701255798,0.7793694734573364,0.7588707208633423,0.6715759038925171,0.6441018581390381,0.6116831302642822,0.647605299949646,0.6394084095954895,0.6196656227111816,0.7881293296813965,0.7476499676704407,0.6381529569625854,0.6222681999206543,0.7793940901756287,0.7584956884384155,0.5673317313194275,0.5498486161231995,0.732484757900238,0.7524409294128418,0.5586743950843811,0.5390743017196655,0.7434980869293213,0.7650972604751587,0.00013849059178028256,0.0001293686218559742,0.719298243522644,0.7017543911933899,0.5495280623435974,0.5338056087493896,0.7349820137023926,0.7472800016403198,0.0014745020307600498,0.0013802226167172194,0.7743055820465088,0.75,0.00016537582268938422,0.0001556430506752804,0.7384615540504456,0.7230769395828247
9,0.7935057878494263,0.42668935656547546,0.5021334290504456,0.3,0.7798200249671936,0.8189563155174255,0.6749449968338013,0.65201336145401,0.5966962575912476,0.6262073516845703,0.6751933097839355,0.6526399850845337,0.5962940454483032,0.6258206367492676,0.6413150429725647,0.6226282119750977,0.7951643466949463,0.775132417678833,0.6777883172035217,0.6471333503723145,0.6037966012954712,0.6446295976638794,0.6455044150352478,0.6227320432662964,0.7898640632629395,0.7479674816131592,0.6410431265830994,0.6220438480377197,0.7952309846878052,0.7749190926551819,0.5617799758911133,0.5369681715965271,0.7411527633666992,0.7702427506446838,0.5565927624702454,0.5314508676528931,0.747350811958313,0.7759703397750854,0.0001391847472405061,0.00012885416799690574,0.7301587462425232,0.7142857313156128,0.5621033310890198,0.5405721068382263,0.7215832471847534,0.7417532205581665,0.0015151004772633314,0.0014005275443196297,0.7746478915214539,0.751173734664917,0.00017144255980383605,0.0001593602355569601,0.767123281955719,0.7534246444702148
