epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6118333339691162,0.6540036797523499,0.6540036797523499,0.5874447822570801,0.7530912160873413,0.5593666434288025,0.5611500144004822,0.678562343120575,0.6775570511817932,0.5590000152587891,0.5600166916847229,0.680475652217865,0.6797826290130615,0.5429108738899231,0.5441029667854309,0.7498167753219604,0.743687093257904,0.5427127480506897,0.5443609952926636,0.7550659775733948,0.7510998249053955,0.6095600128173828,0.6073733568191528,0.6543442606925964,0.6556078791618347,0.6140666604042053,0.6105866432189941,0.6532966494560242,0.6549702882766724,0.5895929336547852,0.5858187079429626,0.751732587814331,0.7560241222381592,0.5859709978103638,0.5830669403076172,0.7468935251235962,0.7538264393806458
1,0.7092800140380859,0.5560097694396973,0.6050066947937012,0.7006640434265137,0.731235682964325,0.6107249855995178,0.6136416792869568,0.6455943584442139,0.6425368785858154,0.6019583344459534,0.6045166850090027,0.655219554901123,0.6532447338104248,0.5822997093200684,0.5857528448104858,0.7232677936553955,0.7157228589057922,0.5875849723815918,0.5910328030586243,0.7431299686431885,0.7381138801574707,0.6671133041381836,0.6616866588592529,0.596738338470459,0.6031198501586914,0.6674533486366272,0.6599533557891846,0.5979017019271851,0.6060245037078857,0.6442260146141052,0.636620044708252,0.7486305832862854,0.7460450530052185,0.6433013081550598,0.6368436217308044,0.7502966523170471,0.7525631785392761
2,0.7545666694641113,0.49495404958724976,0.568322479724884,0.7332422137260437,0.8005678057670593,0.6331666707992554,0.6368444561958313,0.6296855211257935,0.6256113648414612,0.6230611205101013,0.6258055567741394,0.6425026059150696,0.6401150226593018,0.6007495522499084,0.6054992079734802,0.7351366877555847,0.7233326435089111,0.6064512729644775,0.611555278301239,0.7588574290275574,0.7503916025161743,0.7040666937828064,0.6922577619552612,0.5525709986686707,0.5689204335212708,0.7020800113677979,0.6870577931404114,0.5562980771064758,0.5751920938491821,0.6777554154396057,0.6636610627174377,0.7710869312286377,0.7591907978057861,0.677931547164917,0.6662695407867432,0.7775782942771912,0.7704854011535645
3,0.787546694278717,0.44503647089004517,0.5375009775161743,0.7662267088890076,0.8278647065162659,0.6509291529655457,0.6510708332061768,0.6151772141456604,0.6148573756217957,0.638949990272522,0.6380916833877563,0.6299928426742554,0.6318677663803101,0.6149859428405762,0.6173593401908875,0.7442156672477722,0.7274665832519531,0.6217007637023926,0.6244535446166992,0.7711607217788696,0.75815349817276,0.7341766953468323,0.7118899822235107,0.5114555358886719,0.5447560548782349,0.731190025806427,0.7051066756248474,0.5171713829040527,0.5534868836402893,0.7060090899467468,0.682383120059967,0.7927541732788086,0.7679396271705627,0.7065200209617615,0.6853747367858887,0.8011839389801025,0.7834649085998535
4,0.7970466613769531,0.42621490359306335,0.5152437686920166,0.7726510763168335,0.8419530391693115,0.6663333177566528,0.6610900163650513,0.6006221771240234,0.607316255569458,0.6532633304595947,0.6460933089256287,0.6177738904953003,0.6276161074638367,0.6280565857887268,0.6251346468925476,0.752646803855896,0.730839192867279,0.6353945136070251,0.6337049007415771,0.7807338237762451,0.7636487483978271,0.7554853558540344,0.726360023021698,0.47982367873191833,0.5262409448623657,0.751034677028656,0.7175253629684448,0.48760271072387695,0.5377076864242554,0.724223256111145,0.6952419877052307,0.8111906051635742,0.7750524878501892,0.725459635257721,0.6994638442993164,0.8221234083175659,0.7938425540924072
5,0.8017200231552124,0.4158487021923065,0.49867793917655945,0.7658465504646301,0.8694794774055481,0.6781694293022156,0.6686416864395142,0.5887511372566223,0.601290225982666,0.6642694473266602,0.6527916789054871,0.6073073148727417,0.6232913136482239,0.6376394033432007,0.6307314038276672,0.7618973851203918,0.7381220459938049,0.645430326461792,0.639794111251831,0.7909033298492432,0.7720056176185608,0.7695378065109253,0.7362377643585205,0.4580332338809967,0.5133689641952515,0.7649621963500977,0.7265666723251343,0.4660116136074066,0.5255473852157593,0.7351951003074646,0.7033067941665649,0.8285866379737854,0.7842118144035339,0.7362831830978394,0.7078337073326111,0.8399463295936584,0.804619312286377
6,0.8095200061798096,0.40094664692878723,0.4847163259983063,0.7750366926193237,0.8724946975708008,0.6883881092071533,0.675259530544281,0.5770705938339233,0.5949731469154358,0.6744714379310608,0.6585023999214172,0.5964047312736511,0.6182718276977539,0.647151529788971,0.6363323926925659,0.7681522965431213,0.7407590746879578,0.6548433303833008,0.6460176110267639,0.7968508005142212,0.7755483984947205,0.7809714078903198,0.7448152303695679,0.4399748742580414,0.5015040040016174,0.7758761644363403,0.7341866493225098,0.44896599650382996,0.5153402090072632,0.7442253232002258,0.7106453776359558,0.8409919738769531,0.7904821634292603,0.7456284761428833,0.7155606746673584,0.8529482483863831,0.8127140402793884
7,0.8194933533668518,0.38522446155548096,0.4722798466682434,0.7931362986564636,0.8647496104240417,0.6972166895866394,0.6806333065032959,0.5666851997375488,0.5891838073730469,0.6837124824523926,0.6644271016120911,0.5855511426925659,0.6120298504829407,0.6566160321235657,0.6429785490036011,0.7709970474243164,0.7403192520141602,0.6635451316833496,0.6518169641494751,0.8002924919128418,0.7756868004798889,0.7908466458320618,0.7526483535766602,0.42464086413383484,0.4907342195510864,0.7849850058555603,0.7403883337974548,0.43452101945877075,0.5064724087715149,0.7528150677680969,0.7174085378646851,0.8489028215408325,0.7936316132545471,0.7545936703681946,0.723384439945221,0.8620815873146057,0.8181975483894348
8,0.8200466632843018,0.38252881169319153,0.46230751276016235,0.7820956707000732,0.887631893157959,0.7045833468437195,0.685187041759491,0.5577218532562256,0.5842962265014648,0.6911555528640747,0.6683092713356018,0.5772258639335632,0.608806848526001,0.663519024848938,0.646597146987915,0.7763847708702087,0.7432076334953308,0.670268177986145,0.6558825969696045,0.8054676055908203,0.7793146371841431,0.7982444167137146,0.7587718367576599,0.4121282398700714,0.48185572028160095,0.7922933101654053,0.7460325956344604,0.42273378372192383,0.4985930025577545,0.7583122253417969,0.7224231958389282,0.8583575487136841,0.7994965314865112,0.7601951956748962,0.7286654710769653,0.8714013695716858,0.8246549367904663
9,0.8240266442298889,0.373711496591568,0.4534479081630707,0.7865439653396606,0.889701783657074,0.7112100124359131,0.6893200278282166,0.5497273802757263,0.5801950693130493,0.6975416541099548,0.6717633605003357,0.5699986219406128,0.6057713031768799,0.6697041392326355,0.6500954031944275,0.7802751660346985,0.7447964549064636,0.6764314770698547,0.6598633527755737,0.809874415397644,0.7815703749656677,0.80485999584198,0.7641479969024658,0.40109187364578247,0.47360914945602417,0.7985640168190002,0.751043975353241,0.41235440969467163,0.49128857254981995,0.7635334134101868,0.7268097400665283,0.8653073310852051,0.8048509955406189,0.7656298875808716,0.7331218719482422,0.8787381052970886,0.830738365650177
