epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.634773313999176,0.631516695022583,0.631516695022583,0.6081107258796692,0.7581397891044617,0.5940166711807251,0.5949166417121887,0.6655735969543457,0.6638433337211609,0.5678789615631104,0.5689663290977478,0.7868880033493042,0.7833883166313171,0.38461539149284363,0.390277624130249,0.7822079658508301,0.7752418518066406,0.00013080729695502669,0.000132021916215308,0.8571428656578064,0.8571428656578064
1,0.7394800186157227,0.5185766816139221,0.5750466585159302,0.7100070118904114,0.8097218871116638,0.6264916658401489,0.6299416422843933,0.6457424759864807,0.6414017677307129,0.5971145629882812,0.6006399393081665,0.7780092358589172,0.7757761478424072,0.4595191180706024,0.4666304290294647,0.763722836971283,0.7538208961486816,0.00012411721399985254,0.00012577192683238536,0.7142857313156128,0.7142857313156128
2,0.7844399809837341,0.45269110798835754,0.5342614650726318,0.7519067525863647,0.8490654230117798,0.6469833254814148,0.6496388912200928,0.6301434636116028,0.6263328194618225,0.6158810257911682,0.6195228695869446,0.7813909649848938,0.7758249044418335,0.5014289617538452,0.5120915174484253,0.7462764382362366,0.7311698794364929,0.00012558081652969122,0.00012832498759962618,0.699999988079071,0.699999988079071
3,0.8136199712753296,0.4026201665401459,0.5013511180877686,0.7864404916763306,0.861104428768158,0.6644583344459534,0.6640458106994629,0.6120796799659729,0.6123532056808472,0.632246732711792,0.6335424184799194,0.7864046692848206,0.7784138321876526,0.5388741493225098,0.5450596213340759,0.7178393006324768,0.7098022103309631,0.00013092717563267797,0.00013270715135149658,0.75,0.75
4,0.8213000297546387,0.3870367109775543,0.4784882664680481,0.783481776714325,0.8880163431167603,0.6778066754341125,0.673229992389679,0.598944365978241,0.6055919528007507,0.643657922744751,0.6413657665252686,0.7968149781227112,0.7860894799232483,0.5589045882225037,0.5594412684440613,0.7106174230575562,0.7114563584327698,0.00015207644901238382,0.00015226169489324093,0.8064516186714172,0.8064516186714172
5,0.8347266912460327,0.3612065017223358,0.4589413106441498,0.8004595637321472,0.891762912273407,0.689080536365509,0.6807305812835693,0.5856993794441223,0.5984449982643127,0.6546972990036011,0.6489326357841492,0.8003355264663696,0.7876145243644714,0.5805369019508362,0.575107216835022,0.6919992566108704,0.7013872265815735,0.0001705766044324264,0.0001683971204329282,0.8421052694320679,0.8421052694320679
6,0.8416666388511658,0.34783631563186646,0.4430691599845886,0.806006669998169,0.8999333381652832,0.6992762088775635,0.6875428557395935,0.5728906989097595,0.5909146666526794,0.6648017168045044,0.6556395888328552,0.8039739727973938,0.79014652967453,0.5952314138412476,0.5846142172813416,0.6803574562072754,0.6970184445381165,0.00016572127060499042,0.00016148603754118085,0.8536585569381714,0.8536585569381714
7,0.85316002368927,0.3279024362564087,0.42867332696914673,0.830814778804779,0.8869526982307434,0.7080833315849304,0.693414568901062,0.5607824325561523,0.5831611752510071,0.675248384475708,0.6632019877433777,0.8018581867218018,0.7860803008079529,0.614556074142456,0.6014471054077148,0.6573382019996643,0.6780219078063965,0.0001740310835884884,0.00016830766981001943,0.800000011920929,0.800000011920929
8,0.8579599857330322,0.32055723667144775,0.4166604280471802,0.8250205516815186,0.9086424112319946,0.7157333493232727,0.6984685063362122,0.5506067872047424,0.5771616101264954,0.6836431622505188,0.6688136458396912,0.803194522857666,0.7864033579826355,0.6271995306015015,0.6097805500030518,0.6436296105384827,0.6715362071990967,0.00017593384836800396,0.00016808135842438787,0.8148148059844971,0.8148148059844971
9,0.8548200130462646,0.3247264623641968,0.4074670374393463,0.8084827661514282,0.9299352169036865,0.722083330154419,0.7023749947547913,0.5423857569694519,0.5730149149894714,0.6894375681877136,0.6720264554023743,0.808332622051239,0.7906807661056519,0.6344121098518372,0.613444447517395,0.63837069272995,0.6717008352279663,0.00017614226089790463,0.00016658916138112545,0.8275862336158752,0.8275862336158752
