epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
15,0.8186091184616089,0.389929860830307,0.4552408754825592,0.3,0.8051533699035645,0.8410392999649048,0.6948864459991455,0.6609843969345093,0.5886052846908569,0.6406059861183167,0.7141333222389221,0.6698322892189026,0.5553684830665588,0.6167901754379272,0.6896925568580627,0.6519896388053894,0.7794055938720703,0.7296879887580872,0.6638254523277283,0.6333097219467163,0.7897832989692688,0.7649102807044983,0.6054589748382568,0.5603649020195007,0.6737552881240845,0.7407440543174744,0.6513915657997131,0.6134231090545654,0.5852543115615845,0.6302782297134399,0.0018977520521730185,0.0016252129571512341,0.7892107963562012,0.7492507696151733,0.00015089592488948256,0.00013160605158191174,0.7473683953285217,0.7263157963752747
16,0.8183757662773132,0.39100244641304016,0.45146214962005615,0.3,0.8089205026626587,0.8339331150054932,0.6990127563476562,0.6641274690628052,0.5824284553527832,0.6350604891777039,0.716423511505127,0.6709931492805481,0.5527130961418152,0.6159882545471191,0.6923466324806213,0.6534668207168579,0.7798447012901306,0.7292390465736389,0.6682606339454651,0.6366464495658875,0.7904866337776184,0.7648022770881653,0.6130167841911316,0.5671665072441101,0.6627190113067627,0.7302684187889099,0.6556350588798523,0.6159536838531494,0.5813661813735962,0.6285288333892822,0.0018813986098393798,0.001601310563273728,0.7881112098693848,0.7478427886962891,0.0001549897569930181,0.00013492742436937988,0.7450980544090271,0.7254902124404907
17,0.8193425536155701,0.38609984517097473,0.4478309452533722,0.3,0.8086161613464355,0.8369101285934448,0.702059268951416,0.6664999723434448,0.5803598761558533,0.6347440481185913,0.7183018326759338,0.6720870137214661,0.5504770278930664,0.6150395274162292,0.6944581270217896,0.6548839211463928,0.7804383635520935,0.7287642359733582,0.6703925728797913,0.6381778120994568,0.7950688600540161,0.7690985798835754,0.6140458583831787,0.5673615336418152,0.6696162223815918,0.7389183640480042,0.6588151454925537,0.6184319257736206,0.5784105062484741,0.6266005635261536,0.0018872494110837579,0.001606072997674346,0.7877960205078125,0.749544620513916,0.00015449384227395058,0.00013437989400699735,0.7547169923782349,0.7358490824699402
18,0.8184757828712463,0.38753461837768555,0.44465747475624084,0.3,0.7943476438522339,0.8597227931022644,0.7048009037971497,0.6682271957397461,0.5759087800979614,0.6314163208007812,0.7203307151794434,0.6731403470039368,0.5480058193206787,0.6141467094421387,0.6964243650436401,0.6558294296264648,0.7819961309432983,0.7298108339309692,0.6718646883964539,0.6386814713478088,0.800707995891571,0.7748661041259766,0.6144347786903381,0.5646442174911499,0.6683538556098938,0.7415300011634827,0.661319375038147,0.6194430589675903,0.5760003924369812,0.6266564726829529,0.0019010338000953197,0.0015941926976665854,0.7939130663871765,0.747826099395752,0.00015932870155666023,0.0001378654851578176,0.769911527633667,0.752212405204773
19,0.8284437656402588,0.3709592819213867,0.44097256660461426,0.3,0.8111897110939026,0.856285810470581,0.707574188709259,0.6702583432197571,0.5723252296447754,0.6290730237960815,0.7219516634941101,0.673794150352478,0.5461804866790771,0.6138452291488647,0.6983416676521301,0.6566108465194702,0.7822738885879517,0.7297770380973816,0.6743810176849365,0.6403419375419617,0.8028331398963928,0.7769550681114197,0.6188490390777588,0.5678507685661316,0.6665304899215698,0.7419196963310242,0.6637120842933655,0.6194749474525452,0.5731779932975769,0.6271101236343384,0.0018845860613510013,0.001572736888192594,0.7956265807151794,0.7510513067245483,0.00016191424219869077,0.0001381530601065606,0.7796609997749329,0.7542372941970825
20,0.8291438817977905,0.3730309009552002,0.43773722648620605,0.3,0.8225122094154358,0.8397734761238098,0.7104008197784424,0.6727285981178284,0.5682345032691956,0.6256619691848755,0.7237246036529541,0.6749976277351379,0.5441126823425293,0.6129578948020935,0.7006132006645203,0.658208966255188,0.7821207642555237,0.7291691303253174,0.6784185171127319,0.6438373327255249,0.8001082539558411,0.7732657790184021,0.6270982027053833,0.5764550566673279,0.65281742811203,0.7277832627296448,0.6675733327865601,0.6227981448173523,0.5683982372283936,0.6230679750442505,0.0018829030450433493,0.0015669100685045123,0.7898550629615784,0.7455716729164124,0.00015932951646391302,0.0001357564324280247,0.7622950673103333,0.7377049326896667
21,0.8272103071212769,0.37557050585746765,0.43491145968437195,0.3,0.812950074672699,0.85017329454422,0.7131151556968689,0.6748219728469849,0.564519464969635,0.6224846243858337,0.7253295183181763,0.6760067939758301,0.5422914028167725,0.6125645041465759,0.7024814486503601,0.6594585180282593,0.7825316190719604,0.7289952635765076,0.6811107397079468,0.6458345055580139,0.801551103591919,0.774313747882843,0.6312222480773926,0.5803506374359131,0.6501781940460205,0.725866436958313,0.6705333590507507,0.6251934766769409,0.5659862756729126,0.6211893558502197,0.0018984662601724267,0.0015686465194448829,0.7918273210525513,0.7440246939659119,0.00016205552674364299,0.0001380541070830077,0.7716535329818726,0.748031497001648
22,0.8295772671699524,0.37031811475753784,0.43210306763648987,0.3,0.8189666271209717,0.8466764092445374,0.7158935070037842,0.6769963502883911,0.5601935386657715,0.6189109683036804,0.7268877029418945,0.6768543720245361,0.5404878854751587,0.6122009754180908,0.7043530344963074,0.660559892654419,0.7827917337417603,0.7286807894706726,0.6841713786125183,0.6481719613075256,0.8020911812782288,0.7743656039237976,0.6353861689567566,0.5838322639465332,0.6456814408302307,0.7226424217224121,0.6726124286651611,0.6265813112258911,0.5639690160751343,0.6206262111663818,0.0019376809941604733,0.00159647932741791,0.7989728450775146,0.7505502700805664,0.00015838023682590574,0.00013455856242217124,0.7674418687820435,0.7441860437393188
23,0.8338111639022827,0.3646290898323059,0.42929163575172424,0.3,0.8123636841773987,0.8684876561164856,0.7178215384483337,0.6784826517105103,0.5577116012573242,0.6173750758171082,0.7279478907585144,0.677293062210083,0.5392762422561646,0.6120842695236206,0.7054066061973572,0.6609167456626892,0.7835738658905029,0.7292497754096985,0.6858804225921631,0.6493332982063293,0.8038122057914734,0.7761780619621277,0.6372860670089722,0.584884762763977,0.6458926796913147,0.7247999310493469,0.6735459566116333,0.6266626715660095,0.5631374716758728,0.6211322546005249,0.0019323771120980382,0.0015871495706960559,0.7985865473747253,0.7498233318328857,0.00015719974180683494,0.00013466525706462562,0.7669172883033752,0.7518796920776367
24,0.835544764995575,0.36095911264419556,0.42655834555625916,0.3,0.8224598169326782,0.8560575842857361,0.7203173041343689,0.6805466413497925,0.5538890957832336,0.6144382357597351,0.7294846773147583,0.6781666874885559,0.5374024510383606,0.6113755702972412,0.7072722315788269,0.662092387676239,0.7838274836540222,0.7288327813148499,0.6886252164840698,0.6515313386917114,0.8043962121009827,0.7763821482658386,0.641148567199707,0.588890790939331,0.640718400478363,0.7195562124252319,0.6762784719467163,0.6287667751312256,0.5601301789283752,0.6187573671340942,0.00195678835734725,0.001600166317075491,0.7991886138916016,0.749154806137085,0.00015702226664870977,0.00013445439981296659,0.7720588445663452,0.7573529481887817
