epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
15,0.8800666928291321,0.2743230164051056,0.36598968505859375,0.8370259404182434,0.9439363479614258,0.7459343671798706,0.7171499729156494,0.5063135623931885,0.5521038770675659,0.7181827425956726,0.6886886954307556,0.8096013069152832,0.7926547527313232,0.8463083505630493,0.8081583380699158,0.3302658796310425,0.40133076906204224,0.8092548847198486,0.7763181924819946,0.9062407612800598,0.8658065795898438
16,0.8804266452789307,0.27387067675590515,0.36057090759277344,0.8340279459953308,0.9498800039291382,0.749223530292511,0.7193450927734375,0.5016894340515137,0.5495145320892334,0.7219252586364746,0.6909608244895935,0.8107939958572388,0.7937483787536621,0.8494674563407898,0.8112423419952393,0.32464250922203064,0.39620697498321533,0.811857283115387,0.7786097526550293,0.9097923040390015,0.8698387742042542
17,0.8839666843414307,0.26596125960350037,0.35531482100486755,0.8403233289718628,0.9480947256088257,0.7517397999763489,0.720977783203125,0.4983106255531311,0.5479415655136108,0.724715530872345,0.692417562007904,0.8119335174560547,0.7952718734741211,0.852453351020813,0.8141570091247559,0.3190384805202484,0.3911517858505249,0.8145354390144348,0.7809505462646484,0.912753701210022,0.8732866048812866
18,0.8872600197792053,0.25957223773002625,0.3502757251262665,0.8479498028755188,0.943763017654419,0.7541561126708984,0.7228245735168457,0.4951799213886261,0.546261191368103,0.7279008626937866,0.6945247650146484,0.81182461977005,0.7956488132476807,0.8553754091262817,0.8170568346977234,0.3137800693511963,0.3862970173358917,0.8173437714576721,0.7835197448730469,0.9153203368186951,0.8762322068214417
19,0.890333354473114,0.2554813027381897,0.3455359935760498,0.8486945629119873,0.9500399827957153,0.7566133141517639,0.7246458530426025,0.49173831939697266,0.5439648628234863,0.7311500310897827,0.6966383457183838,0.8117596507072449,0.7959460020065308,0.8579339981079102,0.8196846842765808,0.30907732248306274,0.3818793296813965,0.8196972608566284,0.7857579588890076,0.9177567958831787,0.8790764212608337
20,0.8936799764633179,0.2491413801908493,0.3409457802772522,0.8516829013824463,0.9534024596214294,0.758994460105896,0.7263000011444092,0.4884939193725586,0.542063295841217,0.7340681552886963,0.6984546184539795,0.8123049736022949,0.7965380549430847,0.8604228496551514,0.8222768306732178,0.30452728271484375,0.37744736671447754,0.8219508528709412,0.7879258394241333,0.9201927781105042,0.8819589614868164
21,0.8969333171844482,0.24084359407424927,0.3363956809043884,0.8609319925308228,0.9468323588371277,0.7611749768257141,0.7281515002250671,0.4854607880115509,0.5398762822151184,0.7372273206710815,0.7007821798324585,0.8117132186889648,0.7963902950286865,0.8629024028778076,0.8248957395553589,0.29990246891975403,0.37285250425338745,0.8245224356651306,0.7905082702636719,0.9220569133758545,0.8841102123260498
22,0.8957800269126892,0.24162495136260986,0.3322752118110657,0.8538411259651184,0.9550557136535645,0.7632529139518738,0.7296949028968811,0.4826781153678894,0.5380537509918213,0.7399569153785706,0.7025453448295593,0.8118584156036377,0.7967973947525024,0.865129828453064,0.8271414637565613,0.29576149582862854,0.3689652383327484,0.826620876789093,0.7923484444618225,0.924102246761322,0.8866773843765259
23,0.8981533050537109,0.23767146468162537,0.32833337783813477,0.8562058210372925,0.9570735096931458,0.7649583220481873,0.730941653251648,0.480329304933548,0.5365011096000671,0.7422813773155212,0.7039617896080017,0.8118170499801636,0.7971585988998413,0.8672149777412415,0.8293294310569763,0.291852742433548,0.36512425541877747,0.8285943269729614,0.7941926717758179,0.9260038137435913,0.889077365398407
24,0.8984266519546509,0.23745077848434448,0.3246980607509613,0.855266273021698,0.9591899514198303,0.7666573524475098,0.7322453260421753,0.47807320952415466,0.5349398255348206,0.7446022629737854,0.7054867744445801,0.8117995858192444,0.7974314093589783,0.8691642880439758,0.8313637375831604,0.28824368119239807,0.3615271747112274,0.8303737640380859,0.7959171533584595,0.9278926849365234,0.8912860155105591
25,0.9047933220863342,0.22553174197673798,0.32088395953178406,0.8682043552398682,0.9544969797134399,0.768105149269104,0.7333820462226868,0.4764174222946167,0.5339270234107971,0.7469050288200378,0.7070597410202026,0.8110934495925903,0.7970176935195923,0.8711143732070923,0.833506166934967,0.28455930948257446,0.35777249932289124,0.8323527574539185,0.798007071018219,0.9294485449790955,0.8930948972702026
26,0.9080333113670349,0.22041012346744537,0.31716272234916687,0.8748729228973389,0.9522679448127747,0.769490122795105,0.734715461730957,0.47464650869369507,0.5323523283004761,0.749407947063446,0.7090947031974792,0.8098053932189941,0.796053409576416,0.8731269240379333,0.8357056975364685,0.28077462315559387,0.35392776131629944,0.8345478773117065,0.800259530544281,0.9308053851127625,0.8947592377662659
27,0.9028533101081848,0.2283347100019455,0.3139902949333191,0.8609863519668579,0.9608554244041443,0.7709255814552307,0.7359166741371155,0.47279301285743713,0.5310744643211365,0.7514532804489136,0.710541307926178,0.80970299243927,0.7962540984153748,0.8748252391815186,0.8375666737556458,0.27753034234046936,0.3506544232368469,0.8361414670944214,0.8018219470977783,0.9323862791061401,0.8968095183372498
28,0.9104333519935608,0.2137451320886612,0.3105335533618927,0.8762022256851196,0.9559345245361328,0.7722660899162292,0.7370689511299133,0.4711236357688904,0.5297948122024536,0.7537868618965149,0.7122544646263123,0.8087298274040222,0.7955976128578186,0.87654709815979,0.8395199775695801,0.27424901723861694,0.3472076654434204,0.8379266858100891,0.8037761449813843,0.9337100386619568,0.8983798623085022
29,0.9097466468811035,0.2131066620349884,0.30728599429130554,0.8722715973854065,0.960096538066864,0.7735155820846558,0.7381799817085266,0.4695359766483307,0.5286267399787903,0.75581294298172,0.7138144373893738,0.8081713318824768,0.7952301502227783,0.8782195448875427,0.8413888812065125,0.2710460126399994,0.34384775161743164,0.8396068811416626,0.8055137395858765,0.9350876808166504,0.9001280665397644
30,0.9135533571243286,0.2087036818265915,0.3041059374809265,0.8789693117141724,0.9591877460479736,0.7746440768241882,0.7391161322593689,0.4682157635688782,0.5277374982833862,0.757872998714447,0.7153304815292358,0.8072155714035034,0.794416606426239,0.8798524737358093,0.8432150483131409,0.2679683268070221,0.3406124711036682,0.841339647769928,0.8072909116744995,0.9362853169441223,0.9016939401626587
31,0.9101733565330505,0.2142169028520584,0.3012969195842743,0.8672261238098145,0.9686541557312012,0.7758510708808899,0.740206778049469,0.46656596660614014,0.5264177918434143,0.7596467137336731,0.7166423201560974,0.8071081638336182,0.794661283493042,0.8812312483787537,0.8447808623313904,0.2653330862522125,0.33781296014785767,0.8426076769828796,0.8085894584655762,0.9376163482666016,0.9034459590911865
32,0.9135933518409729,0.20780393481254578,0.2984637916088104,0.8752343654632568,0.9647228121757507,0.7769075632095337,0.7411500215530396,0.46518224477767944,0.5253695845603943,0.7614971399307251,0.7180652618408203,0.8064271211624146,0.7941513657569885,0.8826795816421509,0.8464359641075134,0.2626110315322876,0.33489200472831726,0.8441106677055359,0.810160756111145,0.9387392401695251,0.9049393534660339
33,0.916920006275177,0.2012038230895996,0.2956031858921051,0.8794258236885071,0.9663342237472534,0.7779862880706787,0.7420896887779236,0.46393853425979614,0.5244426131248474,0.7633408308029175,0.719474732875824,0.8058450222015381,0.793678343296051,0.884085476398468,0.8480101823806763,0.259929895401001,0.33204007148742676,0.8455418348312378,0.8116110563278198,0.9398759007453918,0.9064395427703857
34,0.9155933260917664,0.20526234805583954,0.2930220067501068,0.8754591941833496,0.9690558314323425,0.7788562178611755,0.742811918258667,0.46289268136024475,0.5238456726074219,0.7648347020149231,0.7204646468162537,0.8053793907165527,0.7935612797737122,0.8853409290313721,0.8494929671287537,0.25748780369758606,0.329341322183609,0.8467420935630798,0.812930703163147,0.9410178065299988,0.9079363942146301
35,0.9180600047111511,0.19974638521671295,0.29043102264404297,0.8808982968330383,0.966871976852417,0.7797532677650452,0.7436087727546692,0.4620124101638794,0.5232411026954651,0.7665577530860901,0.721785306930542,0.804555356502533,0.792874813079834,0.886656641960144,0.850987434387207,0.2549882233142853,0.3266792595386505,0.848130464553833,0.8143515586853027,0.9420074224472046,0.9092843532562256
36,0.9168199896812439,0.19945624470710754,0.28797224164009094,0.8773490190505981,0.9691358208656311,0.7805396318435669,0.744350016117096,0.46110668778419495,0.522666335105896,0.7679429650306702,0.7228218913078308,0.8040956854820251,0.7927236557006836,0.8878529667854309,0.8523455858230591,0.2526766061782837,0.3241673409938812,0.849337100982666,0.8156103491783142,0.9429975152015686,0.9105671644210815
37,0.9215999841690063,0.1911604404449463,0.2854245603084564,0.8862331509590149,0.9674034714698792,0.7812820076942444,0.7450947165489197,0.4603596329689026,0.521944522857666,0.769549548625946,0.724094033241272,0.8030932545661926,0.7920151948928833,0.8891210556030273,0.853809118270874,0.25025519728660583,0.3215092718601227,0.8507077693939209,0.8170798420906067,0.9439039826393127,0.9117517471313477
38,0.9222400188446045,0.19065353274345398,0.2829945385456085,0.8845219612121582,0.9712948799133301,0.7820538282394409,0.7457478642463684,0.4595383405685425,0.5213657021522522,0.7710433006286621,0.7251542806625366,0.8024124503135681,0.7915423512458801,0.8903049826622009,0.8551832437515259,0.247953861951828,0.31900981068611145,0.8519492149353027,0.8183746933937073,0.9448124170303345,0.9130141139030457
39,0.9242666959762573,0.18657279014587402,0.2805840075016022,0.8888671398162842,0.9697874784469604,0.7827862501144409,0.7464345693588257,0.4587838649749756,0.5207182168960571,0.772517204284668,0.7262706160545349,0.8016730546951294,0.7910521626472473,0.8914823532104492,0.8565700054168701,0.2456330955028534,0.3164912462234497,0.8532295823097229,0.8197246193885803,0.9456469416618347,0.9142150282859802
40,0.9222866892814636,0.19036732614040375,0.27838361263275146,0.88246089220047,0.9743613600730896,0.7833805084228516,0.7469707131385803,0.4583478271961212,0.520385205745697,0.7735967040061951,0.7270058989524841,0.8013057708740234,0.7910048961639404,0.8925570845603943,0.857839047908783,0.24352790415287018,0.31417205929756165,0.8543226718902588,0.8208847641944885,0.946528434753418,0.9154449701309204
41,0.9242266416549683,0.18624749779701233,0.2761898934841156,0.884637713432312,0.9756940007209778,0.7840849161148071,0.7476678490638733,0.4576491713523865,0.5197814106941223,0.7749847173690796,0.7280814051628113,0.8006766438484192,0.7906646728515625,0.8936365246772766,0.8590834736824036,0.24145300686359406,0.3118770122528076,0.8554289937019348,0.8220223784446716,0.9474015235900879,0.9166511297225952
42,0.9242799878120422,0.18466565012931824,0.2740614116191864,0.8859859704971313,0.9738947153091431,0.7846131920814514,0.7482097148895264,0.4573100805282593,0.519491970539093,0.7762056589126587,0.7290126085281372,0.7998764514923096,0.7901802659034729,0.8946933150291443,0.860295832157135,0.23941276967525482,0.3096754252910614,0.8565422892570496,0.8231367468833923,0.9482110738754272,0.917816162109375
43,0.9248066544532776,0.18568085134029388,0.2720527648925781,0.8865916728973389,0.9742413759231567,0.7852598428726196,0.7488333582878113,0.45677870512008667,0.5190248489379883,0.7774349451065063,0.729950487613678,0.7994053363800049,0.7899491786956787,0.8956760764122009,0.8614808917045593,0.23750096559524536,0.30749741196632385,0.8575440049171448,0.8242412805557251,0.9490172266960144,0.9189295172691345
44,0.9270200133323669,0.1809573918581009,0.2700284421443939,0.8884522318840027,0.9766672849655151,0.7857559323310852,0.7493689060211182,0.456430047750473,0.518604576587677,0.7785651087760925,0.7308458089828491,0.7987053990364075,0.7895453572273254,0.8966038227081299,0.8626086115837097,0.23566903173923492,0.3054300844669342,0.8584877252578735,0.8252743482589722,0.9497821927070618,0.9200199842453003
45,0.926913321018219,0.1800445318222046,0.268072247505188,0.8885572552680969,0.97629714012146,0.7863061428070068,0.7499728202819824,0.4561350345611572,0.5182431936264038,0.7798341512680054,0.7318993210792542,0.7979120016098022,0.788996696472168,0.8975414633750916,0.8637281060218811,0.23381492495536804,0.3033239543437958,0.8594856262207031,0.8263508677482605,0.9504884481430054,0.9210162162780762
46,0.9305533170700073,0.17386066913604736,0.2660677433013916,0.8950974345207214,0.9754273295402527,0.7867670059204102,0.7505588531494141,0.45589202642440796,0.5178009271621704,0.7810127139091492,0.7329344749450684,0.7970488667488098,0.788447380065918,0.8985196948051453,0.8649174571037292,0.23185445368289948,0.3010799288749695,0.8605568408966064,0.8275313973426819,0.9511805176734924,0.9220125675201416
47,0.9308800101280212,0.17157112061977386,0.2640990614891052,0.8952157497406006,0.9760000109672546,0.7872375249862671,0.7511069178581238,0.45571327209472656,0.5173831582069397,0.7822972536087036,0.7339706420898438,0.7960309982299805,0.7877850532531738,0.8994050025939941,0.866010844707489,0.23007939755916595,0.2990451455116272,0.8614827394485474,0.8285833597183228,0.9518749117851257,0.9229862689971924
48,0.9313133358955383,0.1694679856300354,0.2621678113937378,0.8950916528701782,0.9771612286567688,0.7877697348594666,0.7517214417457581,0.45536863803863525,0.5168443918228149,0.7835381627082825,0.7349851727485657,0.7952749133110046,0.7873897552490234,0.9002838134765625,0.8671140074729919,0.22827556729316711,0.2969592213630676,0.8624309301376343,0.8296735882759094,0.9525207877159119,0.9239208102226257
49,0.9314866662025452,0.1705348640680313,0.26033514738082886,0.8937290906906128,0.9794560670852661,0.7881513237953186,0.7521346807479858,0.45539143681526184,0.5168235898017883,0.7845845818519592,0.7358255386352539,0.794462263584137,0.7867721915245056,0.9011250734329224,0.8681405186653137,0.22661755979061127,0.2950526475906372,0.8633051514625549,0.8306310176849365,0.9531909227371216,0.9248872399330139
50,0.9325733184814453,0.16933850944042206,0.2585509121417999,0.8946337699890137,0.9806548953056335,0.7885758280754089,0.752592146396637,0.4552781581878662,0.5166397094726562,0.7856913208961487,0.7367125749588013,0.7936677932739258,0.7861918807029724,0.9019453525543213,0.8691362142562866,0.22498825192451477,0.29319149255752563,0.8641588687896729,0.8315517902374268,0.9538431763648987,0.92583829164505
51,0.9339200258255005,0.166224405169487,0.2567754089832306,0.8969579935073853,0.9804804921150208,0.7889246940612793,0.7530438899993896,0.4552839994430542,0.5165084004402161,0.7867367267608643,0.7375909686088562,0.7927845120429993,0.7856228947639465,0.9027594923973083,0.8701543807983398,0.22336578369140625,0.29129618406295776,0.864998996257782,0.8325243592262268,0.9545021057128906,0.9267588257789612
52,0.9319599866867065,0.16933117806911469,0.2551255226135254,0.894186794757843,0.9798810482025146,0.7892905473709106,0.7534764409065247,0.45517122745513916,0.5163805484771729,0.787664532661438,0.7383695840835571,0.7921603322029114,0.7852218747138977,0.9035388827323914,0.8711184859275818,0.22180303931236267,0.2894818186759949,0.8658254742622375,0.8334271907806396,0.955099880695343,0.9276612401008606
53,0.9311800003051758,0.16883200407028198,0.2535274922847748,0.8905432820320129,0.9832141995429993,0.789635181427002,0.7538564801216125,0.45511314272880554,0.5162303447723389,0.7885303497314453,0.7390024065971375,0.7915937304496765,0.7849898934364319,0.9042597413063049,0.8720197677612305,0.22034019231796265,0.28778794407844543,0.8665366768836975,0.8342052102088928,0.9557338356971741,0.9286152124404907
54,0.9363666772842407,0.16146208345890045,0.2518535554409027,0.900961697101593,0.9805205464363098,0.7899408936500549,0.7541884779930115,0.4550958573818207,0.5162240266799927,0.7894173860549927,0.7396905422210693,0.7908894419670105,0.7844899296760559,0.9050208330154419,0.8729498386383057,0.2188357263803482,0.28604263067245483,0.8673446774482727,0.8351007103919983,0.9563176035881042,0.929445207118988
55,0.9368066787719727,0.15958774089813232,0.25020596385002136,0.8996864557266235,0.9832546710968018,0.7902666926383972,0.754621148109436,0.455127477645874,0.5160602927207947,0.790280818939209,0.7404612898826599,0.7902864813804626,0.78412264585495,0.9057630896568298,0.8738588094711304,0.21733543276786804,0.2842925786972046,0.8681305050849915,0.8359436988830566,0.9568909406661987,0.9303103089332581
56,0.9377999901771545,0.15757839381694794,0.2485809177160263,0.9032567143440247,0.9806415438652039,0.7905359864234924,0.7550613880157471,0.455425500869751,0.5160017609596252,0.791222333908081,0.7413538098335266,0.7894008159637451,0.7835158705711365,0.9065104126930237,0.8747679591178894,0.21581950783729553,0.28254616260528564,0.8689489364624023,0.836835503578186,0.9574282765388489,0.931095540523529
57,0.9353866577148438,0.16098840534687042,0.24707069993019104,0.8980231285095215,0.9823347330093384,0.7908804416656494,0.7554471492767334,0.4553992450237274,0.51589435338974,0.7921167612075806,0.7421187162399292,0.7888073921203613,0.7830285429954529,0.9072476029396057,0.875673770904541,0.214353546500206,0.28084617853164673,0.8697342276573181,0.8376895785331726,0.9579921960830688,0.9319355487823486
58,0.9395333528518677,0.15449917316436768,0.24550169706344604,0.9057177305221558,0.9812143445014954,0.7911271452903748,0.7557850480079651,0.45560288429260254,0.5159417986869812,0.7930800914764404,0.7429452538490295,0.7878381013870239,0.7822667956352234,0.9079999923706055,0.8765988945960999,0.2128375917673111,0.2790728509426117,0.8705938458442688,0.8386397957801819,0.9584823250770569,0.9326657652854919
59,0.9384533166885376,0.1554625779390335,0.24400104582309723,0.9021375179290771,0.9836142063140869,0.7914172410964966,0.7561516761779785,0.4557115435600281,0.5158737897872925,0.7939520478248596,0.7436808943748474,0.7871484160423279,0.7817966341972351,0.9086777567863464,0.8774651288986206,0.21146315336227417,0.27742746472358704,0.8713142275810242,0.8394654989242554,0.9590050578117371,0.9334556460380554
60,0.9385266900062561,0.15536311268806458,0.24254795908927917,0.9009912014007568,0.9853337407112122,0.7916194200515747,0.7564685940742493,0.4560707211494446,0.5159182548522949,0.794802725315094,0.7443767786026001,0.7862633466720581,0.781265377998352,0.9093399047851562,0.8782950639724731,0.21013206243515015,0.2758568525314331,0.8720144629478455,0.8402436375617981,0.9595209956169128,0.934233546257019
61,0.9445266723632812,0.14392289519309998,0.24095723032951355,0.912857711315155,0.9828799962997437,0.7917968034744263,0.7567935585975647,0.45652490854263306,0.5160477161407471,0.7957649230957031,0.7452267408370972,0.7851324677467346,0.7804355025291443,0.9100455641746521,0.8791875243186951,0.20869991183280945,0.2741498649120331,0.8728137016296387,0.8411684036254883,0.9599937200546265,0.9349270462989807
62,0.9399999976158142,0.15266402065753937,0.2395557463169098,0.9027628898620605,0.9862414598464966,0.7920317649841309,0.7570812106132507,0.45664483308792114,0.5160796046257019,0.7965874075889587,0.7458435893058777,0.7843950986862183,0.7799938321113586,0.9106779098510742,0.8799748420715332,0.20740628242492676,0.2726389467716217,0.8734947443008423,0.8419010639190674,0.9604696035385132,0.9356747269630432
63,0.9432466626167297,0.14646141231060028,0.23810115456581116,0.9084765911102295,0.985814094543457,0.7922489643096924,0.7573919296264648,0.4568396210670471,0.5160492062568665,0.7974119782447815,0.7465576529502869,0.7836120128631592,0.7794196009635925,0.9113425016403198,0.88080894947052,0.20604686439037323,0.2710438668727875,0.874238133430481,0.8427343368530273,0.9609302282333374,0.936374843120575
64,0.9404533505439758,0.15027543902397156,0.23674999177455902,0.9018121957778931,0.9885475635528564,0.7924584746360779,0.7576179504394531,0.4570292830467224,0.5161404609680176,0.7981283664703369,0.7471095323562622,0.7829920649528503,0.7789369821548462,0.9119248986244202,0.8815491199493408,0.20485731959342957,0.2696065902709961,0.8748365640640259,0.8434047102928162,0.9614118933677673,0.9371079802513123
65,0.9400733113288879,0.1521143615245819,0.23546762764453888,0.9016243815422058,0.9879472851753235,0.7927252650260925,0.7579383850097656,0.45705416798591614,0.5160936117172241,0.7987830638885498,0.7476631999015808,0.7826303243637085,0.7787386775016785,0.9125099182128906,0.8822424411773682,0.20365749299526215,0.26820987462997437,0.8754639029502869,0.8440358638763428,0.9618575572967529,0.9377893209457397
66,0.9422533512115479,0.14715410768985748,0.2341495007276535,0.9060640931129456,0.986828088760376,0.7929320931434631,0.7582679390907288,0.45727795362472534,0.5161060094833374,0.7995110154151917,0.7483184933662415,0.7819927334785461,0.7783586978912354,0.9130939245223999,0.8829689621925354,0.20248499512672424,0.26680177450180054,0.876089334487915,0.8447262048721313,0.9623042345046997,0.9384567141532898
